Model,Acceleration Rate,SSIM
Zero Filling,16x,0.791101451
Zero Filling,16x,0.792714793
Zero Filling,16x,0.790469921
Zero Filling,16x,0.746612797
Zero Filling,16x,0.722841205
Zero Filling,16x,0.725117932
Zero Filling,16x,0.718671393
Zero Filling,16x,0.707939242
Zero Filling,16x,0.722864598
Zero Filling,16x,0.719688096
Zero Filling,16x,0.70931091
Zero Filling,16x,0.751639184
Zero Filling,16x,0.753691426
Zero Filling,16x,0.751092411
Zero Filling,16x,0.753215356
Zero Filling,16x,0.659945107
Zero Filling,16x,0.657434528
Zero Filling,16x,0.658311807
Zero Filling,16x,0.655192051
Zero Filling,16x,0.787405066
Zero Filling,16x,0.790439894
Zero Filling,16x,0.790181211
Zero Filling,16x,0.792666833
Zero Filling,16x,0.839586786
Zero Filling,16x,0.835767409
Zero Filling,16x,0.828966781
Zero Filling,16x,0.814693951
Zero Filling,16x,0.735609713
Zero Filling,16x,0.727823973
Zero Filling,16x,0.724089759
Zero Filling,16x,0.727612529
Zero Filling,16x,0.8053103
Zero Filling,16x,0.794610125
Zero Filling,16x,0.799579899
Zero Filling,16x,0.804388218
Zero Filling,16x,0.653554941
Zero Filling,16x,0.65315532
Zero Filling,16x,0.64866095
Zero Filling,16x,0.656963165
Zero Filling,16x,0.765721766
Zero Filling,16x,0.767574795
Zero Filling,16x,0.764405805
Zero Filling,16x,0.761449988
Zero Filling,16x,0.766718929
Zero Filling,16x,0.771215996
Zero Filling,16x,0.769879454
Zero Filling,16x,0.769277791
Zero Filling,16x,0.786184893
Zero Filling,16x,0.79014264
Zero Filling,16x,0.78883348
Zero Filling,16x,0.775383089
Zero Filling,16x,0.785699363
Zero Filling,16x,0.787280537
Zero Filling,16x,0.783777929
Zero Filling,16x,0.778842528
Zero Filling,16x,0.792737746
Zero Filling,16x,0.795952669
Zero Filling,16x,0.801496496
Zero Filling,16x,0.796109474
Zero Filling,16x,0.733638173
Zero Filling,16x,0.732420615
Zero Filling,16x,0.732360491
Zero Filling,16x,0.730511198
AFT-Net (I),2x,0.975200846
AFT-Net (I),2x,0.974489423
AFT-Net (I),2x,0.974489387
AFT-Net (I),2x,0.974213752
AFT-Net (I),2x,0.96872436
AFT-Net (I),2x,0.970449779
AFT-Net (I),2x,0.970372155
AFT-Net (I),2x,0.969840795
AFT-Net (I),2x,0.969786735
AFT-Net (I),2x,0.970633498
AFT-Net (I),2x,0.970638895
AFT-Net (I),2x,0.96992488
AFT-Net (I),2x,0.980733278
AFT-Net (I),2x,0.981017925
AFT-Net (I),2x,0.980790767
AFT-Net (I),2x,0.980833719
AFT-Net (I),2x,0.98218867
AFT-Net (I),2x,0.982409769
AFT-Net (I),2x,0.982534148
AFT-Net (I),2x,0.982966401
AFT-Net (I),2x,0.970170693
AFT-Net (I),2x,0.98451066
AFT-Net (I),2x,0.984360469
AFT-Net (I),2x,0.985160721
AFT-Net (I),2x,0.977635092
AFT-Net (I),2x,0.983472631
AFT-Net (I),2x,0.983786549
AFT-Net (I),2x,0.968861774
AFT-Net (I),2x,0.972907426
AFT-Net (I),2x,0.97314919
AFT-Net (I),2x,0.973246468
AFT-Net (I),2x,0.972524252
AFT-Net (I),2x,0.972289517
AFT-Net (I),2x,0.972550622
AFT-Net (I),2x,0.972876285
AFT-Net (I),2x,0.973389658
AFT-Net (I),2x,0.957379846
AFT-Net (I),2x,0.960430945
AFT-Net (I),2x,0.961665739
AFT-Net (I),2x,0.96051888
AFT-Net (I),2x,0.959348433
AFT-Net (I),2x,0.96295733
AFT-Net (I),2x,0.96172614
AFT-Net (I),2x,0.959584406
AFT-Net (I),2x,0.969496198
AFT-Net (I),2x,0.969496272
AFT-Net (I),2x,0.969412781
AFT-Net (I),2x,0.969870777
AFT-Net (I),2x,0.943232318
AFT-Net (I),2x,0.942718036
AFT-Net (I),2x,0.943975139
AFT-Net (I),2x,0.942273551
AFT-Net (I),2x,0.974403029
AFT-Net (I),2x,0.975251643
AFT-Net (I),2x,0.975281341
AFT-Net (I),2x,0.975796566
AFT-Net (I),2x,0.984024567
AFT-Net (I),2x,0.983580205
AFT-Net (I),2x,0.982739749
AFT-Net (I),2x,0.979043823
AFT-Net (I),2x,0.952984939
AFT-Net (I),2x,0.951117817
AFT-Net (I),2x,0.950239862
AFT-Net (I),2x,0.950750553
AFT-Net (I),2x,0.974640879
AFT-Net (I),2x,0.97360787
AFT-Net (I),2x,0.974468772
AFT-Net (I),2x,0.975774505
AFT-Net (I),2x,0.921990761
AFT-Net (I),2x,0.922221215
AFT-Net (I),2x,0.912672476
AFT-Net (I),2x,0.908450411
AFT-Net (I),2x,0.962935742
AFT-Net (I),2x,0.964773095
AFT-Net (I),2x,0.963564677
AFT-Net (I),2x,0.963063315
AFT-Net (I),2x,0.963040278
AFT-Net (I),2x,0.962775879
AFT-Net (I),2x,0.962785451
AFT-Net (I),2x,0.962278395
AFT-Net (I),2x,0.972420792
AFT-Net (I),2x,0.97321727
AFT-Net (I),2x,0.972051793
AFT-Net (I),2x,0.970060943
AFT-Net (I),2x,0.97020765
AFT-Net (I),2x,0.971860591
AFT-Net (I),2x,0.972704335
AFT-Net (I),2x,0.970881451
AFT-Net (I),2x,0.97338626
AFT-Net (I),2x,0.974234259
AFT-Net (I),2x,0.974386088
AFT-Net (I),2x,0.973421535
AFT-Net (I),2x,0.961760784
AFT-Net (I),2x,0.961825843
AFT-Net (I),2x,0.962003469
AFT-Net (I),2x,0.961608948
AFT-Net (I),4x,0.954103417
AFT-Net (I),4x,0.952901291
AFT-Net (I),4x,0.952647189
AFT-Net (I),4x,0.952009396
AFT-Net (I),4x,0.934049784
AFT-Net (I),4x,0.939487214
AFT-Net (I),4x,0.938562333
AFT-Net (I),4x,0.937829173
AFT-Net (I),4x,0.944937591
AFT-Net (I),4x,0.945790027
AFT-Net (I),4x,0.946047364
AFT-Net (I),4x,0.944371261
AFT-Net (I),4x,0.962917979
AFT-Net (I),4x,0.963539484
AFT-Net (I),4x,0.963100481
AFT-Net (I),4x,0.962935955
AFT-Net (I),4x,0.966522081
AFT-Net (I),4x,0.966757282
AFT-Net (I),4x,0.966779653
AFT-Net (I),4x,0.967025085
AFT-Net (I),4x,0.943389665
AFT-Net (I),4x,0.969298189
AFT-Net (I),4x,0.968941785
AFT-Net (I),4x,0.970155369
AFT-Net (I),4x,0.95812708
AFT-Net (I),4x,0.968453266
AFT-Net (I),4x,0.968955646
AFT-Net (I),4x,0.938272708
AFT-Net (I),4x,0.955451408
AFT-Net (I),4x,0.956170893
AFT-Net (I),4x,0.956555262
AFT-Net (I),4x,0.955461976
AFT-Net (I),4x,0.954367138
AFT-Net (I),4x,0.954463674
AFT-Net (I),4x,0.955430968
AFT-Net (I),4x,0.955760836
AFT-Net (I),4x,0.931497087
AFT-Net (I),4x,0.936066043
AFT-Net (I),4x,0.937475295
AFT-Net (I),4x,0.936378524
AFT-Net (I),4x,0.929861144
AFT-Net (I),4x,0.935982201
AFT-Net (I),4x,0.933560559
AFT-Net (I),4x,0.930328246
AFT-Net (I),4x,0.94997231
AFT-Net (I),4x,0.949906603
AFT-Net (I),4x,0.949952744
AFT-Net (I),4x,0.950339407
AFT-Net (I),4x,0.906559534
AFT-Net (I),4x,0.906069279
AFT-Net (I),4x,0.908366681
AFT-Net (I),4x,0.905655274
AFT-Net (I),4x,0.956353502
AFT-Net (I),4x,0.957374869
AFT-Net (I),4x,0.957477531
AFT-Net (I),4x,0.958251557
